,latitude,longitude
0,71.1697196,25.7852892
1,71.16522,25.77896
2,71.15732,25.77974
3,71.14994,25.77304
4,71.14465,25.76467
5,71.14128,25.75845
6,71.13721,25.73993
7,71.13029,25.72611
8,71.12508,25.71587
9,71.12038,25.70662
10,71.1152,25.70006
11,71.11023,25.69701
12,71.10725,25.69806
13,71.10729,25.71614
14,71.10618,25.73378
15,71.10066,25.74697
16,71.09947,25.7647
17,71.09379,25.76966
18,71.08899,25.78112
19,71.07945,25.77091
20,71.07297,25.77407
21,71.06831,25.78926
22,71.06278,25.7781
23,71.05659,25.7643
24,71.05021,25.7624
25,71.04575,25.76623
26,71.0393,25.77884
27,71.0359,25.8039
28,71.0364,25.82564
29,71.03015,25.83605
30,71.02762,25.84893
31,71.02913,25.85783
32,71.0303,25.86258
33,71.03051,25.87099
34,71.03348,25.88693
35,71.02784,25.88792
36,71.01852,25.88275
37,71.0127,25.89318
38,71.00958,25.90932
39,71.01092,25.92685
40,71.00924,25.95056
41,71.00276,25.96698
42,70.99628,25.9592
43,70.9938,25.95008
44,70.99311,25.93492
45,70.99128,25.92071
46,70.98951,25.90806
47,70.98788,25.89517
48,70.98619,25.88074
49,70.98474,25.86815
50,70.98339,25.85768
51,70.98126,25.84449
52,70.97931,25.83435
53,70.97737,25.82516
54,70.97533,25.81087
55,70.97624,25.79914
56,70.97686,25.78221
57,70.98057,25.76886
58,70.98506,25.75804
59,70.98981,25.74794
60,70.98912,25.73358
61,70.98548,25.72746
62,70.9809,25.71963
63,70.97522,25.70677
64,70.96863,25.70346
65,70.96051,25.69509
66,70.95263,25.71106
67,70.94895,25.7115
68,70.94616,25.70927
69,70.94269,25.70723
70,70.94001,25.7057
71,70.93693,25.70392
72,70.93336,25.70187
73,70.93046,25.70021
74,70.92763,25.69858
75,70.92448,25.69677
76,70.92139,25.695
77,70.91864,25.69342
78,70.91611,25.69197
79,70.91211,25.68967
80,70.90821,25.68744
81,70.90474,25.68545
82,70.90112,25.68338
83,70.89779,25.68129
84,70.89454,25.67825
85,70.89136,25.67898
86,70.88903,25.69308
87,70.88652,25.7152
88,70.8817,25.72316
89,70.87639,25.73363
90,70.86971,25.72952
91,70.86261,25.72517
92,70.86223,25.73712
93,70.86686,25.74896
94,70.87031,25.76418
95,70.87213,25.79283
96,70.87981,25.82835
97,70.8731,25.82474
98,70.85871,25.80239
99,70.83954,25.78866
100,70.82561,25.77199
101,70.81478,25.75181
102,70.7957,25.72522
103,70.78694,25.70738
104,70.78494,25.6865
105,70.77992,25.65051
106,70.77446,25.61739
107,70.76243,25.59952
108,70.74608,25.59676
109,70.73767,25.61838
110,70.7217,25.58739
111,70.70536,25.54769
112,70.70496,25.5204
113,70.69658,25.5069
114,70.6846,25.49003
115,70.67816,25.47267
116,70.67054,25.43712
117,70.67024,25.40791
118,70.66693,25.38963
119,70.66026,25.40708
120,70.65081,25.3912
121,70.64707,25.36341
122,70.637,25.37139
123,70.63082,25.34217
